Action ref;Action;Category;Team;Group;Children;Date;Eco tCO2e;Eco eau;Eco dechets
D10;Ne pas acheter de bouteilles en plastique : boire à la gourde;Déchets;FEUILLE;Feuille orange;feuille7;04/05/2025;0.54243;0;0.21
D06;Prendre soin de ses affaires pour les faire durer plus longtemps (reboucher les feutres… ne pas casser. ne pas lancer…);Déchets;FEUILLE;Feuille orange;feuille7;04/05/2025;0.017374;0;0.183462
T06;Couper le moteur de la voiture quand elle ne roule pas;Transport;FEUILLE;Feuille orange;feuille11;12/05/2025;1.518;0;0
C06;Faire ses repas, gouter, compotes sois même plutôt que d’acheter des plats préparés;Courses;FEUILLE;Feuille orange;feuille11;14/05/2025;1.260407;0;0.180058
D11;Acheter des produits en vrac. éviter les emballages individuels…;Déchets;FEUILLE;Feuille orange;feuille11;14/05/2025;0.38;0;0.67
D07;Vendre ou donner les vêtements. les objets. les jouets dont on ne veut plus (trop petits…);Déchets;FEUILLE;Feuille orange;feuille11;14/05/2025;0.017374;2500;0
D03;Ne pas jeter de déchets dans la nature (chewing-gums. sacs. canettes. bouteilles…);Déchets;FEUILLE;Feuille orange;feuille11;14/05/2025;0.424875;0;4.486538
B04;Faire un jardin potager;Biodiversité;FEUILLE;Feuille orange;feuille11;14/05/2025;4.48;0;0
W07;Vider le reste de sa gourde dans les plantes;Eau;FEUILLE;Feuille orange;feuille11;14/05/2025;0;0.000013;0
W03;Ne pas faire couler l’eau trop longtemps quand on se lave les mains;Eau;FEUILLE;Feuille orange;feuille11;14/05/2025;0.004964;12.6;0
W02;Utiliser une seule dose de savon;Eau;FEUILLE;Feuille orange;feuille11;14/05/2025;0.05;28;0
E05;Préférer les ampoules à basse consommation;Electricité;FEUILLE;Feuille orange;feuille11;14/05/2025;0.072803;0;0
E02;Ouvrir les volets et ne pas allumer la lumière quand il fait jour dehors. ou éteindre lorsque la lumière extérieure le permet;Electricité;FEUILLE;Feuille orange;feuille11;14/05/2025;0.027408;0;0
E01;Eteindre la lumière quand on quitte une pièce. quand on n’en a pas besoin;Electricité;FEUILLE;Feuille orange;feuille11;14/05/2025;0.027408;0;0
C06;Faire ses repas, gouter, compotes sois même plutôt que d’acheter des plats préparés;Courses;FEUILLE;Feuille orange;feuille12;25/04/2025;1.260407;0;0.180058
C06;Faire ses repas, gouter, compotes sois même plutôt que d’acheter des plats préparés;Courses;FEUILLE;Feuille orange;feuille5;17/04/2025;1.260407;0;0.180058
C03;Acheter des fruits ou légumes de saison;Courses;FEUILLE;Feuille orange;feuille5;17/04/2025;6.932;0;0
D10;Ne pas acheter de bouteilles en plastique : boire à la gourde;Déchets;FEUILLE;Feuille orange;feuille5;17/04/2025;0.54243;0;0.21
